ARTIST,SONG,TABS,TUNING,CAPO,CHORDS,TECHNIQUE
Howie Day,Collide,https://danielchaveztutorials.com/tabs/collide,Standard,4th Fret,G | D/F# | Em7 | Cadd9,Picking/Strumming
Hudson Westbrook,House Again,https://danielchaveztutorials.com/tabs/house-again,Standard,1st Fret,G | Bm | Am | Em | Cm | C | Dadd4,Strumming
Hudson Westbrook,Painted You Pretty,https://danielchaveztutorials.com/tabs/painted-you-pretty,Standard,N/A,A5 | E | B5 | C#5 | F#m | Bsus2/F#,Strumming
Ian Munsick,Me Against the Mountain,https://danielchaveztutorials.com/tabs/me-against-the-mountain,Standard,7th Fret,Am7 | Gadd11 | C | Am7/F,Finger-Picking/Strumming
Jack Johnson,Banana Pancakes,https://danielchaveztutorials.com/tabs/banana-pancakes,Standard,N/A,G | Am7 | D9 | C7 | Bm7 | E5 | E5/Eb | C,Muted-Strumming
Jack Johnson,Upside Down,https://danielchaveztutorials.com/tabs/upside-down,Standard,N/A,E | F#m | A | B | G#m,Muted-Strumming
Jack Van Cleaf,Mazes,https://danielchaveztutorials.com/tabs/mazes,Standard,3rd Fret,Fmaj7 | C | G6 | Am,Finger-picking
Jack Van Cleaf,Rattlesnake,https://danielchaveztutorials.com/tabs/rattlesnake,Standard,4th Fret,A/D | A5 | F#m,Strumming
James Bay,Let it Go  ,https://danielchaveztutorials.com/tabs/let-it-go,Whole Step Down,N/A,Triads,Finger-picking
James Tucker,October,https://danielchaveztutorials.com/tabs/october,Standard,1st Fret,Em7 | Cadd9 | G,Strumming
Jason Isbell,Cover Me Up,https://danielchaveztutorials.com/tabs/cover-me-up,Drop D,1st Fret,Dsus2 | Bm7/A | G | D | Bm | Bm7,Strumming
Jason Isbell,Dress Blues,https://danielchaveztutorials.com/tabs/dress-blues,Standard,N/A,,Strumming
Jason Isbell,If We Were Vampires,https://danielchaveztutorials.com/tabs/if-we-were-vampires,Standard,N/A,Em | Bm | C | G | D,Finger-picking
Jawbreaker,Kiss the Bottle - Tim McIlrath Version,https://danielchaveztutorials.com/tabs/kiss-the-bottle-tim-mcilrath,Half-Step Down,N/A,G | Em7 | Dsus2 | Cadd9 | Em | Asus4 | D/F#,Strumming/Palm-muting
Jelly Roll,I Am Not Okay,https://danielchaveztutorials.com/tabs/i-am-not-okay,Standard,N/A,Em | Dadd4 | C | G,Picking/Strumming
Jelly Roll,Lonely Road,https://danielchaveztutorials.com/tabs/lonely-road,Standard,N/A,G | D | Cadd9 | Em,Picking/Strumming
Jerrod Niemann,"Lover, Lover",https://danielchaveztutorials.com/tabs/lover-lover,Standard,2nd Fret,E | A,Strumming/Palm-muting
Jimmie Allen,Best Shot,https://danielchaveztutorials.com/tabs/best-shot,Standard,4th Fret,Am7 | G | F | C,Picking/Strumming/Palm-muting
Joe Jordan,Deadwood,https://danielchaveztutorials.com/tabs/deadwood,Standard,N/A,Am | C/B | C | F | G | Dm,Picking/Strumming
Joe Jordan,Don't Tell Alley,https://danielchaveztutorials.com/tabs/dont-tell-alley,Standard,N/A,Em7 | G | Cadd9 | B/G | D,Strumming
Joe Jordan,You Deserve Better,https://danielchaveztutorials.com/tabs/you-deserve-better,Standard,6th Fret,Am | G | Fmaj7 | C | C/B | G,Fingerpicking/Strumming
Joey Cape,I Must Be Hateful,https://danielchaveztutorials.com/tabs/i-must-be-hateful,Standard,4th Fret,,Fingerpicking
John Frusciante,The Will to Death,https://danielchaveztutorials.com/tabs/the-will-to-death,Standard,N/A,E | B | F#m | A | C#m,Strumming/Palm-muting/Barre Chords
John Kailian,Tell Me Brother,https://danielchaveztutorials.com/tabs/tell-me-brother,Standard,N/A,C | G | Em | D,Strumming
John Mayer,Heart of Life,https://danielchaveztutorials.com/tabs/heart-of-life,Half-Step Down,N/A,D | Bm | F#m | D/F# | A | G,Finger-picking/Palm-muting/Chucking
John Mayer,In the Blood Cover ,https://danielchaveztutorials.com/tabs/in-the-blood,Standard,1st Fret,G | D/F# | Em7 | C | Dsus2,Strumming
Johnny Cash,Hurt,https://danielchaveztutorials.com/tabs/hurt,Standard,N/A,Am | C | Dsus2 | G | F ,Picking/Strumming
Jon Pardi,Head Over Boots,https://danielchaveztutorials.com/tabs/head-over-boots,Standard,N/A,G | D | Em | C | Cm,Muted-Strumming
Jon Pardi,Missin' You Crazy  ,https://danielchaveztutorials.com/tabs/missin-you-crazy,Standard,N/A,E | A5 | C#5 | B5 | A,Strumming
Jon Pardi,Trash a Hotel Room,https://danielchaveztutorials.com/tabs/trash-a-hotel-room,Standard,N/A,G | Em | C | Dsus2 | B11/E | Cadd9,Muted-Strumming
Jon Pardi,What I Can't Put Down  ,https://danielchaveztutorials.com/tabs/what-i-cant-put-down,Drop D,N/A,Dsus2 | Bm7 | G5 | B5,Strumming
Josh Meloy,Porch Light,https://danielchaveztutorials.com/tabs/porch-light,Standard,1st Fret,F | C | G | Am,Strumming
Joshua Slone,Adeline,https://danielchaveztutorials.com/tabs/adeline-js,Standard,1st Fret,Am7 | Fsus2 | C/G | G6/11 | E7 | Gsus,Strumming
Joshua Slone,Demons,https://danielchaveztutorials.com/tabs/demons,Standard,1st Fret,C | C/B | Am7 | Fsus2 | C/G | G6/11,Picking/Strumming
Joshua Slone,Shark Attack,https://danielchaveztutorials.com/tabs/shark-attack,Standard,2nd Fret,Cmaj7/G | Em(add9) | Asus13 | Dadd4/A,Muted-Strumming
Joshua Slone,To Make You Mine,https://danielchaveztutorials.com/tabs/to-make-you-mine,Standard,4th Fret,C | C/B | Am7 | Fsus2 | C/G | Gsus | G,Picking/Strumming
Joshua Slone,Wanting More,https://danielchaveztutorials.com/tabs/wanting-more,,,,
Joshua Slone,Your Place At My Place,https://danielchaveztutorials.com/tabs/your-place-at-my-place,Standard,1st Fret,Cmaj7/G | Em(add9) | Asus13 | Dadd11,Muted-Strumming
Josiah & The Bonnevilles,Ghost,https://danielchaveztutorials.com/tabs/ghost-josiah,Standard,1st Fret,Em | C/G | G | Dadd4,Strumming
Josiah & The Bonnevilles,Hell Without The Flames,https://danielchaveztutorials.com/tabs/hell-without-the-flames,Half-Step Down,N/A,,Finger-picking
Kade Hoffman,Hungover & Heartbroken,https://danielchaveztutorials.com/tabs/hungover-and-heartbroken,Standard,2nd Fret,C | Am | F | G | A,Finger-picking/Barre Chords
Kade Hoffman,Wanderlust,https://danielchaveztutorials.com/tabs/wanderlust,Standard,3rd Fret,Em7 | Cadd9 | G | G/F#,Picking/Strumming
Kane Brown,Used to Love You Sober  ,https://danielchaveztutorials.com/tabs/used-to-love-you-sober,Standard,1st Fret,Em | Cadd9 | G | D/F# | Dsus2,Finger-picking/Strumming
Keith Urban,"John Cougar, John Deere, John 3:16",https://danielchaveztututorials.com/tabs/john-cougar,Standard,3rd Fret, A | E/G# | F#m | Dsus2 | E | B | Bmaj7/A# | G#m | E5,Finger-picking/Muted-Strumming
Keith Urban,Raise 'em Up  ,https://danielchaveztututorials.com/tabs/raise-em-up,Standard,N/A,E | Cm7 | E5 | A5,Finger-picking/Muted-Strumming
Keith Urban,You'll Think of Me,https://danielchaveztutorials.com/tabs/youll-think-of-me,Standard,2nd Fret,Gmaj7/B | Cmaj7 | G | Dsus2/A | Em | C | Am | D | F | Cadd9,Alternate/Economy Picking
Kellen Smith,Cheatgrass & Clover,https://danielchaveztutorials.com/tabs/cheatgrass-and-clover,Standard,N/A,C | G | D | Am | C/B | Em,Picking/Strumming
Kip Moore,Bittersweet Company,https://danielchaveztutorials.com/tabs/bittersweet-company,Half-Step Down,N/A,C | G | Am | E | F | E7,Finger-picking
Kip Moore,Comeback Kid  ,https://danielchaveztutorials.com/tabs/comeback-kid,Whole Step Down,N/A,Cadd9 | B/G | G | Em7 | Dsus2 | Dadd4,Finger-picking
Kip Moore,Crazy One More Time  ,https://danielchaveztutorials.com/tabs/crazy-one-more-time,Drop D,N/A,Dsus2 | D/F# | G | Asus4 | B/G,Finger-picking
Kip Moore,Dirt Road  ,https://danielchaveztutorials.com/tabs/dirt-road,Half-Step Down,N/A,Am7 | G/C | C | F,Finger-picking
Kip Moore,Guitar Man  ,https://danielchaveztutorials.com/tabs/guitar-man,Standard,8th Fret,   G | G/B | Cadd9 | Em7 | Dsus4,Strumming
Kip Moore,Hang A While  ,https://danielchaveztutorials.com/tabs/hang-awhile,C Standard,2nd Fret,Dsus2 | D/F# | G | Asus4 | A5 (Capo 2nd fret A-e only),Picking/Strumming
Kip Moore,Hey Pretty Girl,https://danielchaveztutorials.com/tabs/hey-pretty-girl,Standard,2nd Fret,Dsus2 | Bm7 | D/F# | Gsus2 | Asus4 (Capo 2nd fret A-e only),Finger-picking
Kip Moore,I'll Let Her  ,https://danielchaveztutorials.com/tabs/ill-let-her,Drop D,N/A,,Finger-picking
Kip Moore,More Girls Like You,https://danielchaveztutorials.com/tabs/more-girls-like-you,Drop D,N/A,,Finger-picking
Kip Moore,Plead the Fifth,https://danielchaveztutorials.com/tabs/plead-the-fifth,Half-Step Down,N/A,C5 | A5 | G5 | F5,Picking
Kip Moore,Separate Ways,https://danielchaveztutorials.com/tabs/separate-ways,Drop C#,N/A,Dsus2 | G | Dadd4/A | Asus2 | A7sus4 |G/B |D/F#,Finger-picking
Kip Moore,The Girl of the Summer,https://danielchaveztutorials.com/tabs/the-girl-of-the-summer,Standard,2nd Fret,Asus4 | G/B | G | Dsus2 | D/F# (Capo 2nd fret A-e only),Finger-picking
Kip Moore,Where You are Tonight  ,https://danielchaveztutorials.com/tabs/where-you-are-tonight,Standard,N/A,   G | G/B | Cadd9 | G/B | D/F#,Picking/Strumming
Kolton Moore,A Place That I Call Home,https://danielchaveztutorials.com/tabs/a-place-that-i-call-home,Standard,3rd Fret,Am | G | F | C | C/B,Picking/Strumming
Lainey Wilson,Out of Oklahoma,https://danielchaveztutorials.com/tabs/out-of-oklahoma,Standard,2nd Fret,G | Cadd9 | Em | G/B,Finger-picking/Strumming
Landon WIlks,Get Over You,https://danielchaveztutorials.com/tabs/get-over-you,Standard,N/A,Triads,Picked
Landon WIlks,Leave Me Be,https://danielchaveztutorials.com/tabs/leave-me-be,Standard,1st Fret,Em | C | G | Em7,Finger-picking
Lifehouse,You and Me  ,https://danielchaveztutorials.com/tabs/you-and-me,Half-Step Down,N/A,G | Cadd9 | Gsus2 | G/B | Em7 | Dsus4 | Asus4,Strumming
Lily Fitts,Buying Time,https://danielchaveztutorials.com/tabs/buying-time,Standard,N/A,Em | C | G | D | Am,Picking/Strumming
Lily Fitts,Lose You Now,https://danielchaveztutorials.com/tabs/lose-you-now,Standard,N/A,Em | G | C | D | Am,Strumming
Lily Fitts,What They Say,https://danielchaveztutorials.com/tabs/what-they-say,Standard,1st Fret,Em | G | C | D | Am | C/B,Picking/Strumming
Logan Halstead,"Dark, Black Coal",https://danielchaveztutorials.com/tabs/dark-black-coal,Standard,N/A,F | C | G | Am,
Luke Combs,Be By You,https://danielchaveztutorials.com/tabs/be-by-you,Drop C#,N/A,Dsus2 | A | G | Em | G/F#,Finger-picking/Strumming
Luke Combs,Beautiful Crazy,https://danielchaveztutorials.com/tabs/beautiful-crazy,Standard,4th Fret,G | D/F# | Em7 | Dadd4 | C | Am7 | C/B,Strumming
Luke Combs,Remember HIm That Way,https://danielchaveztutorials.com/tabs/remember-him-that-way,Standard,4th,G | Em7 | D/F# | Cadd9 | B/G | Am7 | D | Em7/A,Picking/Strumming/Legato
Luke Combs,The Man He Sees in Me,https://danielchaveztutorials.com/tabs/the-man-he-sees-in-me,Half-Step Down,N/A,Dsus2 | G | Em7 | Asus4,Strumming
Luke Combs,When It Rains It Pours,https://danielchaveztutorials.com/tabs/when-it-rains-it-pours,Half-Step Down,N/A,G | Cadd9 | D | Am7,Strumming
Lynyrd Skynyrd,Simple Man,https://danielchaveztutorials.com/tabs/simple-man,Half-Step Down,N/A,C | G | Am,Picking/Strumming
